generation_params,batch_size,learning_rate,optimizer,scheduler,criterion,epochs,split_ratios,num_branches,hidden_layer_sizes,activation_fn,output_activation_fn,performance
"{'datasetSize': 100000, 'numBranches': 1, 'lengthInterval': (0.8, 2.65), 'widthInterval': (0.35, 0.61), 'flipParams': (1.0, 0), 'dataRotationParams': (360.0, 2.0), 'modulusOfElasticity': 1000000000.0, 'poissonRatio': 0.33, 'yieldStrength': 5000000.0, 'numPerturbations': 2, 'perturbProbability': 0.5, 'widthPerturb': (0.05, 0.05), 'vectorPerturb': (25.0, 1.5), 'terminalPerturb': (0.05, 0.1), 'numDisplacements': 2, 'percentYieldStrength': (0.0, 0.35), 'displaceProbability': 1.0, 'meshSize': 0.075, 'order': 1, 'seed': 0}",256,0.01,adam,reduce_lr_on_plateau,mse,75,"(0.7, 0.15, 0.15)",1,"[128, 64, 32, 16]",ReLU,ReLU,0.9113844187418619
"{'datasetSize': 100000, 'numBranches': 1, 'lengthInterval': (0.8, 2.65), 'widthInterval': (0.35, 0.61), 'flipParams': (1.0, 0), 'dataRotationParams': (360.0, 2.0), 'modulusOfElasticity': 1000000000.0, 'poissonRatio': 0.33, 'yieldStrength': 5000000.0, 'numPerturbations': 2, 'perturbProbability': 0.5, 'widthPerturb': (0.05, 0.05), 'vectorPerturb': (25.0, 1.5), 'terminalPerturb': (0.05, 0.1), 'numDisplacements': 2, 'percentYieldStrength': (0.0, 0.35), 'displaceProbability': 1.0, 'meshSize': 0.075, 'order': 1, 'seed': 0}",256,0.01,adam,reduce_lr_on_plateau,mae,75,"(0.7, 0.15, 0.15)",1,"[128, 64, 32, 16]",ReLU,ReLU,70.9154748046875
"{'datasetSize': 100000, 'numBranches': 1, 'lengthInterval': (0.8, 2.65), 'widthInterval': (0.35, 0.61), 'flipParams': (1.0, 0), 'dataRotationParams': (360.0, 2.0), 'modulusOfElasticity': 1000000000.0, 'poissonRatio': 0.33, 'yieldStrength': 5000000.0, 'numPerturbations': 2, 'perturbProbability': 0.5, 'widthPerturb': (0.05, 0.05), 'vectorPerturb': (25.0, 1.5), 'terminalPerturb': (0.05, 0.1), 'numDisplacements': 2, 'percentYieldStrength': (0.0, 0.35), 'displaceProbability': 1.0, 'meshSize': 0.075, 'order': 1, 'seed': 0}",256,0.001,adam,reduce_lr_on_plateau,mse,75,"(0.7, 0.15, 0.15)",1,"[128, 64, 32, 16]",ReLU,ReLU,70.9154748046875
"{'datasetSize': 100000, 'numBranches': 1, 'lengthInterval': (0.8, 2.65), 'widthInterval': (0.35, 0.61), 'flipParams': (1.0, 0), 'dataRotationParams': (360.0, 2.0), 'modulusOfElasticity': 1000000000.0, 'poissonRatio': 0.33, 'yieldStrength': 5000000.0, 'numPerturbations': 2, 'perturbProbability': 0.5, 'widthPerturb': (0.05, 0.05), 'vectorPerturb': (25.0, 1.5), 'terminalPerturb': (0.05, 0.1), 'numDisplacements': 2, 'percentYieldStrength': (0.0, 0.35), 'displaceProbability': 1.0, 'meshSize': 0.075, 'order': 1, 'seed': 0}",256,0.001,adam,reduce_lr_on_plateau,mae,75,"(0.7, 0.15, 0.15)",1,"[128, 64, 32, 16]",ReLU,ReLU,0.8735570103963216
"{'datasetSize': 100000, 'numBranches': 1, 'lengthInterval': (0.8, 2.65), 'widthInterval': (0.35, 0.61), 'flipParams': (1.0, 0), 'dataRotationParams': (360.0, 2.0), 'modulusOfElasticity': 1000000000.0, 'poissonRatio': 0.33, 'yieldStrength': 5000000.0, 'numPerturbations': 2, 'perturbProbability': 0.5, 'widthPerturb': (0.05, 0.05), 'vectorPerturb': (25.0, 1.5), 'terminalPerturb': (0.05, 0.1), 'numDisplacements': 2, 'percentYieldStrength': (0.0, 0.35), 'displaceProbability': 1.0, 'meshSize': 0.075, 'order': 1, 'seed': 0}",256,0.0001,adam,reduce_lr_on_plateau,mse,75,"(0.7, 0.15, 0.15)",1,"[128, 64, 32, 16]",ReLU,ReLU,70.9154748046875
"{'datasetSize': 100000, 'numBranches': 1, 'lengthInterval': (0.8, 2.65), 'widthInterval': (0.35, 0.61), 'flipParams': (1.0, 0), 'dataRotationParams': (360.0, 2.0), 'modulusOfElasticity': 1000000000.0, 'poissonRatio': 0.33, 'yieldStrength': 5000000.0, 'numPerturbations': 2, 'perturbProbability': 0.5, 'widthPerturb': (0.05, 0.05), 'vectorPerturb': (25.0, 1.5), 'terminalPerturb': (0.05, 0.1), 'numDisplacements': 2, 'percentYieldStrength': (0.0, 0.35), 'displaceProbability': 1.0, 'meshSize': 0.075, 'order': 1, 'seed': 0}",256,0.0001,adam,reduce_lr_on_plateau,mae,75,"(0.7, 0.15, 0.15)",1,"[128, 64, 32, 16]",ReLU,ReLU,2.612173249308268
"{'datasetSize': 100000, 'numBranches': 1, 'lengthInterval': (0.8, 2.65), 'widthInterval': (0.35, 0.61), 'flipParams': (1.0, 0), 'dataRotationParams': (360.0, 2.0), 'modulusOfElasticity': 1000000000.0, 'poissonRatio': 0.33, 'yieldStrength': 5000000.0, 'numPerturbations': 2, 'perturbProbability': 0.5, 'widthPerturb': (0.05, 0.05), 'vectorPerturb': (25.0, 1.5), 'terminalPerturb': (0.05, 0.1), 'numDisplacements': 2, 'percentYieldStrength': (0.0, 0.35), 'displaceProbability': 1.0, 'meshSize': 0.075, 'order': 1, 'seed': 0}",256,0.01,adam,reduce_lr_on_plateau,mse,75,"(0.7, 0.15, 0.15)",1,"[128, 64, 32, 16]",ReLU,Softplus,0.7064631790161133
"{'datasetSize': 100000, 'numBranches': 1, 'lengthInterval': (0.8, 2.65), 'widthInterval': (0.35, 0.61), 'flipParams': (1.0, 0), 'dataRotationParams': (360.0, 2.0), 'modulusOfElasticity': 1000000000.0, 'poissonRatio': 0.33, 'yieldStrength': 5000000.0, 'numPerturbations': 2, 'perturbProbability': 0.5, 'widthPerturb': (0.05, 0.05), 'vectorPerturb': (25.0, 1.5), 'terminalPerturb': (0.05, 0.1), 'numDisplacements': 2, 'percentYieldStrength': (0.0, 0.35), 'displaceProbability': 1.0, 'meshSize': 0.075, 'order': 1, 'seed': 0}",256,0.01,adam,reduce_lr_on_plateau,mae,75,"(0.7, 0.15, 0.15)",1,"[128, 64, 32, 16]",ReLU,Softplus,0.6074831746419271
"{'datasetSize': 100000, 'numBranches': 1, 'lengthInterval': (0.8, 2.65), 'widthInterval': (0.35, 0.61), 'flipParams': (1.0, 0), 'dataRotationParams': (360.0, 2.0), 'modulusOfElasticity': 1000000000.0, 'poissonRatio': 0.33, 'yieldStrength': 5000000.0, 'numPerturbations': 2, 'perturbProbability': 0.5, 'widthPerturb': (0.05, 0.05), 'vectorPerturb': (25.0, 1.5), 'terminalPerturb': (0.05, 0.1), 'numDisplacements': 2, 'percentYieldStrength': (0.0, 0.35), 'displaceProbability': 1.0, 'meshSize': 0.075, 'order': 1, 'seed': 0}",256,0.001,adam,reduce_lr_on_plateau,mse,75,"(0.7, 0.15, 0.15)",1,"[128, 64, 32, 16]",ReLU,Softplus,0.8704146156311036
"{'datasetSize': 100000, 'numBranches': 1, 'lengthInterval': (0.8, 2.65), 'widthInterval': (0.35, 0.61), 'flipParams': (1.0, 0), 'dataRotationParams': (360.0, 2.0), 'modulusOfElasticity': 1000000000.0, 'poissonRatio': 0.33, 'yieldStrength': 5000000.0, 'numPerturbations': 2, 'perturbProbability': 0.5, 'widthPerturb': (0.05, 0.05), 'vectorPerturb': (25.0, 1.5), 'terminalPerturb': (0.05, 0.1), 'numDisplacements': 2, 'percentYieldStrength': (0.0, 0.35), 'displaceProbability': 1.0, 'meshSize': 0.075, 'order': 1, 'seed': 0}",256,0.001,adam,reduce_lr_on_plateau,mae,75,"(0.7, 0.15, 0.15)",1,"[128, 64, 32, 16]",ReLU,Softplus,0.6718770614624023
